exec,lat,margin,L,feasible,cfg,cagr_is,maxdd_is,liqs_is,trades_is,sharpe_is,years_is,edge_bp_is,edge_t_is,cagr_oos,maxdd_oos,worst_day_oos,liqs_oos,trades_oos,rejected_oos,sharpe_oos,years_oos,edge_bp_oos,edge_t_oos,n_oos_all
taker,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.028757,-0.20816,0,86,0.27465,2022:+0.0139;2023:+0.0170;2024:+0.0559;2025:+0.0000,25.322,1.356,0.01186,-0.04998,-0.0017095,0,6,0,0.71166,2025:+0.0198;2026:+0.0000,11.599,0.15608,19
taker,0,pm,3,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.047343,-0.022249,0,13,1.5037,2022:+0.0235;2023:+0.0823;2024:+0.0371;2025:+0.0000,76.05,4.5368,0.081856,-0.032685,0,0,5,0,1.2564,2025:+0.0969;2026:+0.0392,73.95,2.7678,7
taker,0,pm,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.079474,-0.037082,0,13,1.5038,2022:+0.0392;2023:+0.1397;2024:+0.0620;2025:+0.0000,76.05,4.5368,0.13793,-0.054476,0,0,5,0,1.2558,2025:+0.1639;2026:+0.0654,73.95,2.7678,7
taker,0,pm,10,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.16216,-0.074163,0,13,1.5039,2022:+0.0787;2023:+0.2938;2024:+0.1247;2025:+0.0000,76.05,4.5368,0.28336,-0.10895,0,0,5,0,1.2545,2025:+0.3396;2026:+0.1308,73.95,2.7678,7
taker,0,pm,15,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.24822,-0.11124,0,13,1.5039,2022:+0.1186;2023:+0.4638;2024:+0.1877;2025:+0.0000,76.05,4.5368,0.43629,-0.16343,0,0,5,0,1.2531,2025:+0.5274;2026:+0.1962,73.95,2.7678,7
taker,0,pm,20,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.33766,-0.14833,0,13,1.504,2022:+0.1587;2023:+0.6510;2024:+0.2511;2025:+0.0000,76.05,4.5368,0.59668,-0.2179,0,0,5,0,1.2519,2025:+0.7273;2026:+0.2615,73.95,2.7678,7
taker,0,sep,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.028724,-0.20817,0,86,0.27442,2022:+0.0139;2023:+0.0169;2024:+0.0559;2025:+0.0000,25.322,1.356,0.011857,-0.04998,-0.0017095,0,6,0,0.71164,2025:+0.0198;2026:+0.0000,11.599,0.15608,19
taker,0,sep,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.097672,-0.57191,7,97,0.4715,2022:+0.0659;2023:+0.0980;2024:+0.1301;2025:+0.0000,24.093,1.5775,-0.22668,-0.41195,-0.36942,1,6,0,-0.70008,2025:-0.3727;2026:+0.0391,28.361,0.50684,23
taker,0,sep,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.076269,-0.037082,1,13,1.4171,2022:+0.0392;2023:+0.1395;2024:+0.0528;2025:+0.0000,76.05,4.5368,0.083453,-0.072185,-0.036714,1,5,0,0.81048,2025:+0.0726;2026:+0.0654,73.95,2.7678,7
taker,0,sep,10,False,,,,,,,,,,,,,,,,,,,,
taker,0,sep,15,False,,,,,,,,,,,,,,,,,,,,
taker,0,sep,20,False,,,,,,,,,,,,,,,,,,,,
taker,1,mc,1,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0019123,-0.010069,0,4,0.31763,2022:-0.0032;2023:+0.0090;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.00081507,-0.0092332,0,0,1,0,0.77545,2025:+0.0014;2026:+0.0000,-3.4495,,2
taker,1,mc,3,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0053408,-0.030082,0,4,0.3047,2022:-0.0096;2023:+0.0260;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.002437,-0.0277,0,0,1,0,0.77545,2025:+0.0041;2026:+0.0000,-3.4495,,2
taker,1,mc,5,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.008642,-0.049912,0,4,0.30207,2022:-0.0160;2023:+0.0429;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.0040573,-0.046166,0,0,1,0,0.77545,2025:+0.0068;2026:+0.0000,-3.4495,,2
taker,1,mc,10,False,,,,,,,,,,,,,,,,,,,,
taker,1,mc,15,False,,,,,,,,,,,,,,,,,,,,
taker,1,mc,20,False,,,,,,,,,,,,,,,,,,,,
taker,1,pm,1,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0019123,-0.010069,0,4,0.31763,2022:-0.0032;2023:+0.0090;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.00081507,-0.0092332,0,0,1,0,0.77545,2025:+0.0014;2026:+0.0000,-3.4495,,2
taker,1,pm,3,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0053408,-0.030082,0,4,0.3047,2022:-0.0096;2023:+0.0260;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.002437,-0.0277,0,0,1,0,0.77545,2025:+0.0041;2026:+0.0000,-3.4495,,2
taker,1,pm,5,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.008642,-0.049912,0,4,0.30207,2022:-0.0160;2023:+0.0429;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.0040573,-0.046166,0,0,1,0,0.77545,2025:+0.0068;2026:+0.0000,-3.4495,,2
taker,1,pm,10,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.016348,-0.098688,0,4,0.30008,2022:-0.0321;2023:+0.0846;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.0081002,-0.092332,0,0,1,0,0.77545,2025:+0.0135;2026:+0.0000,-3.4495,,2
taker,1,pm,15,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.02329,-0.14632,0,4,0.29941,2022:-0.0481;2023:+0.1256;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.012132,-0.1385,0,0,1,0,0.77545,2025:+0.0203;2026:+0.0000,-3.4495,,2
taker,1,pm,20,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.029486,-0.19296,0,4,0.29908,2022:-0.0641;2023:+0.1658;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.016154,-0.18466,0,0,1,0,0.77545,2025:+0.0270;2026:+0.0000,-3.4495,,2
taker,1,sep,1,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0018379,-0.010072,0,4,0.30801,2022:-0.0032;2023:+0.0088;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.00081336,-0.0092332,0,0,1,0,0.77545,2025:+0.0014;2026:+0.0000,-3.4495,,2
taker,1,sep,3,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0052673,-0.030085,0,4,0.30144,2022:-0.0096;2023:+0.0257;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.0024354,-0.0277,0,0,1,0,0.77545,2025:+0.0041;2026:+0.0000,-3.4495,,2
taker,1,sep,5,True,btceth W1440 k80 x0.0 H480 both0 conf1,0.0085727,-0.049914,0,4,0.3002,2022:-0.0160;2023:+0.0426;2024:+0.0000;2025:+0.0000,36.388,1.0063,0.0040557,-0.046166,0,0,1,0,0.77545,2025:+0.0068;2026:+0.0000,-3.4495,,2
taker,1,sep,10,False,,,,,,,,,,,,,,,,,,,,
taker,1,sep,15,False,,,,,,,,,,,,,,,,,,,,
taker,1,sep,20,False,,,,,,,,,,,,,,,,,,,,
