univ,seg,margin,L,final,cagr,maxdd,liqs,trades,rejected,sharpe,worst_day,years,n_all,edge_bp,edge_t,gross_bp
BTCUSDT,IS,sep,10,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,sep,15,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,IS,sep,20,1,0,0,0,0,8,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,8,45.5685,5.92012,111.273
BTCUSDT,OOS,mc,1,1.01449,0.00868176,-0.0037958,0,2,0,0.853436,0,2025:+0.0014;2026:+0.0131,2,72.376,,129.209
BTCUSDT,OOS,mc,3,1.04357,0.0259517,-0.0113874,0,2,0,0.85325,0,2025:+0.0042;2026:+0.0392,2,72.376,,129.209
BTCUSDT,OOS,mc,5,1.07279,0.0431154,-0.018979,0,2,0,0.853213,0,2025:+0.0070;2026:+0.0654,2,72.376,,129.209
BTCUSDT,OOS,mc,10,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
BTCUSDT,OOS,mc,15,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
BTCUSDT,OOS,mc,20,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
BTCUSDT,OOS,pm,1,1.01449,0.00868176,-0.0037958,0,2,0,0.853436,0,2025:+0.0014;2026:+0.0131,2,72.376,,129.209
BTCUSDT,OOS,pm,3,1.04357,0.0259517,-0.0113874,0,2,0,0.85325,0,2025:+0.0042;2026:+0.0392,2,72.376,,129.209
BTCUSDT,OOS,pm,5,1.07279,0.0431154,-0.018979,0,2,0,0.853213,0,2025:+0.0070;2026:+0.0654,2,72.376,,129.209
BTCUSDT,OOS,pm,10,1.14649,0.0855888,-0.037958,0,2,0,0.853185,0,2025:+0.0139;2026:+0.1308,2,72.376,,129.209
BTCUSDT,OOS,pm,15,1.22109,0.127489,-0.0569371,0,2,0,0.853175,0,2025:+0.0208;2026:+0.1962,2,72.376,,129.209
BTCUSDT,OOS,pm,20,1.2966,0.168871,-0.0759161,0,2,0,0.853171,0,2025:+0.0278;2026:+0.2615,2,72.376,,129.209
BTCUSDT,OOS,sep,1,1.01449,0.00867901,-0.0037958,0,2,0,0.853297,0,2025:+0.0014;2026:+0.0131,2,72.376,,129.209
BTCUSDT,OOS,sep,3,1.04357,0.0259489,-0.0113874,0,2,0,0.853204,0,2025:+0.0042;2026:+0.0392,2,72.376,,129.209
BTCUSDT,OOS,sep,5,1.07279,0.0431127,-0.018979,0,2,0,0.853186,0,2025:+0.0069;2026:+0.0654,2,72.376,,129.209
BTCUSDT,OOS,sep,10,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
BTCUSDT,OOS,sep,15,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
BTCUSDT,OOS,sep,20,1,0,0,0,0,2,0,0,2025:+0.0000;2026:+0.0000,2,72.376,,129.209
ETHUSDT,IS,mc,1,1.11246,0.0361645,-0.00741633,0,11,0,1.42942,-0.00335581,2022:+0.0262;2023:+0.0582;2024:+0.0245;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,mc,3,1.36834,0.110191,-0.022249,0,11,0,1.42897,-0.0100743,2022:+0.0790;2023:+0.1809;2024:+0.0739;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,mc,5,1.67173,0.18683,-0.0370817,0,11,0,1.42888,-0.0167928,2022:+0.1324;2023:+0.3133;2024:+0.1241;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,mc,10,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,mc,15,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,mc,20,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,1,1.11246,0.0361645,-0.00741633,0,11,0,1.42942,-0.00335581,2022:+0.0262;2023:+0.0582;2024:+0.0245;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,3,1.36834,0.110191,-0.022249,0,11,0,1.42897,-0.0100743,2022:+0.0790;2023:+0.1809;2024:+0.0739;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,5,1.67173,0.18683,-0.0370817,0,11,0,1.42888,-0.0167928,2022:+0.1324;2023:+0.3133;2024:+0.1241;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,10,2.6853,0.389945,-0.0741633,0,11,0,1.42881,-0.033589,2022:+0.2685;2023:+0.6897;2024:+0.2528;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,15,4.17062,0.609658,-0.111245,0,11,0,1.42878,-0.0503852,2022:+0.4083;2023:+1.1371;2024:+0.3857;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,pm,20,6.29188,0.846121,-0.148327,0,11,0,1.42877,-0.0671814,2022:+0.5517;2023:+1.6633;2024:+0.5224;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,1,1.11226,0.0361002,-0.00741633,0,11,0,1.42909,-0.00335751,2022:+0.0262;2023:+0.0580;2024:+0.0245;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,3,1.36809,0.110125,-0.022249,0,11,0,1.42885,-0.010076,2022:+0.0789;2023:+0.1807;2024:+0.0739;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,5,1.65695,0.183323,-0.0370817,1,11,0,1.40058,-0.0253242,2022:+0.1324;2023:+0.3131;2024:+0.1144;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,10,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,15,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,IS,sep,20,1,0,0,0,0,11,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,11,98.2179,3.70991,168.995
ETHUSDT,OOS,mc,1,1.03764,0.0224428,-0.0108951,0,5,0,1.15829,0,2025:+0.0318;2026:+0.0056,5,74.5799,2.22282,175.418
ETHUSDT,OOS,mc,3,1.11541,0.067813,-0.0326853,0,5,0,1.1576,0,2025:+0.0969;2026:+0.0169,5,74.5799,2.22282,175.418
ETHUSDT,OOS,mc,5,1.19659,0.113847,-0.0544755,0,5,0,1.15693,0,2025:+0.1639;2026:+0.0281,5,74.5799,2.22282,175.418
ETHUSDT,OOS,mc,10,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
ETHUSDT,OOS,mc,15,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
ETHUSDT,OOS,mc,20,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,1,1.03764,0.0224428,-0.0108951,0,5,0,1.15829,0,2025:+0.0318;2026:+0.0056,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,3,1.11541,0.067813,-0.0326853,0,5,0,1.1576,0,2025:+0.0969;2026:+0.0169,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,5,1.19659,0.113847,-0.0544755,0,5,0,1.15693,0,2025:+0.1639;2026:+0.0281,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,10,1.41497,0.231857,-0.108951,0,5,0,1.1553,0,2025:+0.3396;2026:+0.0562,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,15,1.65628,0.354072,-0.163427,0,5,0,1.15374,0,2025:+0.5274;2026:+0.0844,5,74.5799,2.22282,175.418
ETHUSDT,OOS,pm,20,1.92163,0.480513,-0.217902,0,5,0,1.15224,0,2025:+0.7273;2026:+0.1125,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,1,1.03763,0.02244,-0.0108951,0,5,0,1.15828,0,2025:+0.0318;2026:+0.0056,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,3,1.1154,0.0678101,-0.0326853,0,5,0,1.1576,0,2025:+0.0969;2026:+0.0169,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,5,1.10277,0.060526,-0.072185,1,5,0,0.663592,-0.0367144,2025:+0.0726;2026:+0.0281,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,10,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,15,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
ETHUSDT,OOS,sep,20,1,0,0,0,0,5,0,0,2025:+0.0000;2026:+0.0000,5,74.5799,2.22282,175.418
BTCUSDT+ETHUSDT,IS,mc,1,1.04799,0.0157485,-0.00741633,0,13,0,1.50286,-0.00335581,2022:+0.0078;2023:+0.0272;2024:+0.0124;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,mc,3,1.14886,0.0473425,-0.022249,0,13,0,1.50367,-0.0100743,2022:+0.0235;2023:+0.0823;2024:+0.0371;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,mc,5,1.25787,0.079474,-0.0370817,0,13,0,1.50381,-0.0167928,2022:+0.0392;2023:+0.1397;2024:+0.0620;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,mc,10,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,mc,15,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,mc,20,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,1,1.04799,0.0157485,-0.00741633,0,13,0,1.50286,-0.00335581,2022:+0.0078;2023:+0.0272;2024:+0.0124;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,3,1.14886,0.0473425,-0.022249,0,13,0,1.50367,-0.0100743,2022:+0.0235;2023:+0.0823;2024:+0.0371;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,5,1.25787,0.079474,-0.0370817,0,13,0,1.50381,-0.0167928,2022:+0.0392;2023:+0.1397;2024:+0.0620;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,10,1.56963,0.16216,-0.0741633,0,13,0,1.50391,-0.033589,2022:+0.0787;2023:+0.2938;2024:+0.1247;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,15,1.9448,0.248221,-0.111245,0,13,0,1.50394,-0.0503852,2022:+0.1186;2023:+0.4638;2024:+0.1877;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,pm,20,2.39354,0.337663,-0.148327,0,13,0,1.50396,-0.0671814,2022:+0.1587;2023:+0.6510;2024:+0.2511;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,1,1.04776,0.0156718,-0.00741633,0,13,0,1.50349,-0.00335751,2022:+0.0078;2023:+0.0269;2024:+0.0124;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,3,1.1486,0.0472652,-0.022249,0,13,0,1.50385,-0.010076,2022:+0.0235;2023:+0.0821;2024:+0.0371;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,5,1.2467,0.0762685,-0.0370817,1,13,0,1.41713,-0.0253242,2022:+0.0392;2023:+0.1395;2024:+0.0528;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,10,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,15,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,IS,sep,20,1,0,0,0,0,19,0,0,2022:+0.0000;2023:+0.0000;2024:+0.0000;2025:+0.0000,19,76.0497,4.53679,144.691
BTCUSDT+ETHUSDT,OOS,mc,1,1.04533,0.0269882,-0.0108951,0,5,0,1.25696,0,2025:+0.0318;2026:+0.0131,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,mc,3,1.13993,0.0818562,-0.0326853,0,5,0,1.25641,0,2025:+0.0969;2026:+0.0392,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,mc,5,1.23996,0.137927,-0.0544755,0,5,0,1.25585,0,2025:+0.1639;2026:+0.0654,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,mc,10,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,mc,15,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,mc,20,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,1,1.04533,0.0269882,-0.0108951,0,5,0,1.25696,0,2025:+0.0318;2026:+0.0131,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,3,1.13993,0.0818562,-0.0326853,0,5,0,1.25641,0,2025:+0.0969;2026:+0.0392,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,5,1.23996,0.137927,-0.0544755,0,5,0,1.25585,0,2025:+0.1639;2026:+0.0654,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,10,1.51481,0.283361,-0.108951,0,5,0,1.25448,0,2025:+0.3396;2026:+0.1308,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,15,1.82703,0.436287,-0.163427,0,5,0,1.25315,0,2025:+0.5274;2026:+0.1962,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,pm,20,2.1791,0.596677,-0.217902,0,5,0,1.25187,0,2025:+0.7273;2026:+0.2615,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,1,1.04532,0.0269854,-0.0108951,0,5,0,1.25697,0,2025:+0.0318;2026:+0.0131,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,3,1.13993,0.0818533,-0.0326853,0,5,0,1.25641,0,2025:+0.0969;2026:+0.0392,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,5,1.14274,0.0834533,-0.072185,1,5,0,0.810479,-0.0367144,2025:+0.0726;2026:+0.0654,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,10,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,15,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
BTCUSDT+ETHUSDT,OOS,sep,20,1,0,0,0,0,7,0,0,2025:+0.0000;2026:+0.0000,7,73.9502,2.76782,162.216
